,id_video,start,end,text,link
29,bGBuz7UNN5I,56.58,58.16,"19 añitos, no, muy chiquitita.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=56s
30,bGBuz7UNN5I,58.28,61.22,No quiero exponerle a tus 19 años algo tan...,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=58s
31,bGBuz7UNN5I,61.22,61.94,"Muy bien, Felipe.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=61s
32,bGBuz7UNN5I,62.9,63.94,A Peche tampoco.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=62s
33,bGBuz7UNN5I,64.16,65.14,Tiene mucho...,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=64s
34,bGBuz7UNN5I,65.64,66.04,¿Peche?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=65s
35,bGBuz7UNN5I,66.04,67.36,Muchos compromisos con los pobres.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=66s
36,bGBuz7UNN5I,67.36,68.92,"Quédate como Peche ya, para siempre.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=67s
37,bGBuz7UNN5I,69.2,71.76,"Ignacio también es entrevistador, así que chocaríamos.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=69s
38,bGBuz7UNN5I,72.4,72.8,Y acá...,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=72s
39,bGBuz7UNN5I,74.92,75.74,¿Qué estás diciendo?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=74s
40,bGBuz7UNN5I,75.92,76.68,"No, pues es lo que no.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=75s
41,bGBuz7UNN5I,76.68,77.62,Me está insultando.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=76s
42,bGBuz7UNN5I,77.66,78.68,No estoy diciendo nada.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=77s
43,bGBuz7UNN5I,79.18,80.0,¿Pero qué estás diciendo?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=79s
44,bGBuz7UNN5I,80.0,81.68,"No, que me gustaría entrevistar...",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=80s
45,bGBuz7UNN5I,81.68,83.02,"Que te escuchen, a ver, para que aparezca...",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=81s
46,bGBuz7UNN5I,83.02,84.92,"Que ya está entrevistado, no traba oportunidades.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=83s
47,bGBuz7UNN5I,84.92,85.66,¿Qué?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=84s
48,bGBuz7UNN5I,86.02,86.82,Que aparezca aquí.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=86s
49,bGBuz7UNN5I,86.94,87.66,Tú lo entiendes.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=86s
50,bGBuz7UNN5I,87.98,88.24,Dale.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=87s
51,bGBuz7UNN5I,88.76,89.56,"Felipe, aquí es...",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=88s
52,bGBuz7UNN5I,89.56,90.92,Por eso no me gustaría entrevistar.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=89s
53,bGBuz7UNN5I,90.98,92.66,Entonces me gustaría entrevistar a Juan Pablo Queraldo.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=90s
54,bGBuz7UNN5I,92.7,93.1,Ya.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=92s
55,bGBuz7UNN5I,93.1,94.54,"A la guagua con corbata, perfecto.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=93s
56,bGBuz7UNN5I,94.54,95.44,Guagua con corbata.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=94s
57,bGBuz7UNN5I,95.8,96.8,Como lo hacían los chitos Jara.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=95s
58,bGBuz7UNN5I,97.1,98.22,Pasemos a la mesita de acá.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=97s
59,bGBuz7UNN5I,98.24,98.54,Ya.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=98s
60,bGBuz7UNN5I,98.7,99.36,"Trato, sí.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=98s
61,bGBuz7UNN5I,100.7,101.4,El programa...,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=100s
62,bGBuz7UNN5I,101.4,102.92,"No, acá. Acá hay una mesita.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=101s
63,bGBuz7UNN5I,103.0,104.38,"¿Cómo hacer la tiendita, no, Mararata?",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=103s
64,bGBuz7UNN5I,104.92,105.36,La tiendita.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=104s
65,bGBuz7UNN5I,105.36,106.06,Aquí es Juan Pablo.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=105s
66,bGBuz7UNN5I,106.16,107.44,"Ya, yo llevo la silla, rápidamente.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=106s
67,bGBuz7UNN5I,107.46,107.98,Pero ella es fuera.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=107s
68,bGBuz7UNN5I,108.3,109.68,"Ah, pero con todo un...",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=108s
69,bGBuz7UNN5I,109.68,109.88,Sí.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=109s
70,bGBuz7UNN5I,110.8,111.58,Tenemos todo acá.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=110s
71,bGBuz7UNN5I,112.28,112.84,Va a ser algo...,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=112s
72,bGBuz7UNN5I,112.84,113.64,"Siéntate, siéntate.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=112s
73,bGBuz7UNN5I,113.7,114.82,"¿Va a ser algo amable, Felipe, o no?",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=113s
74,bGBuz7UNN5I,114.82,115.42,"Sí, por supuesto.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=114s
75,bGBuz7UNN5I,115.6,115.66,Sí.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=115s
76,bGBuz7UNN5I,116.08,116.68,"No, pues.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=116s
77,bGBuz7UNN5I,116.78,119.14,La idea es que no sea que sea entrevistador de verdad.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=116s
78,bGBuz7UNN5I,119.6,120.22,¿Quieres tomar algo?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=119s
79,bGBuz7UNN5I,120.62,121.16,¿Una agüita?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=120s
80,bGBuz7UNN5I,121.32,121.92,"No, pero...",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=121s
81,bGBuz7UNN5I,121.92,124.76,"No, pero ¿tienen algo para...",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=121s
82,bGBuz7UNN5I,124.76,125.36,Un traguil.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=124s
83,bGBuz7UNN5I,125.44,125.78,"No, no.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=125s
84,bGBuz7UNN5I,125.86,126.68,"No, no, no. Está bien.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=125s
85,bGBuz7UNN5I,126.84,127.52,Un vasito.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=126s
86,bGBuz7UNN5I,127.72,129.28,A mí lo que me importa es que sea amable esto.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=127s
87,bGBuz7UNN5I,129.46,130.64,"Ah, qué buena onda el programa.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=129s
88,bGBuz7UNN5I,131.02,131.38,Sí.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=131s
89,bGBuz7UNN5I,131.38,131.94,Es como si es pático.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=131s
90,bGBuz7UNN5I,132.44,133.3,"Felipe, ¿va a ser esto?",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=132s
91,bGBuz7UNN5I,133.34,134.38,"Esto va a ser amable, ¿no?",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=133s
92,bGBuz7UNN5I,134.46,135.44,"Sí, tú mamadera.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=134s
93,bGBuz7UNN5I,137.08,137.98,Un kilo con pavas.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=137s
94,bGBuz7UNN5I,138.18,138.28,Ya.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=138s
95,bGBuz7UNN5I,138.64,140.08,Tú mamadera con pavas.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=138s
96,bGBuz7UNN5I,140.08,141.14,El más chico del panel.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=140s
97,bGBuz7UNN5I,141.56,142.04,Perfecto.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=141s
98,bGBuz7UNN5I,142.04,142.64,Vamos a empezar.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=142s
99,bGBuz7UNN5I,142.82,144.16,"Comienza el show entonces, vamos.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=142s
100,bGBuz7UNN5I,144.6,144.88,Ya.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=144s
101,bGBuz7UNN5I,146.36,148.04,"Muy amable, muy amable, dale.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=146s
102,bGBuz7UNN5I,149.02,150.82,"No, pero ¿cómo nos habíamos quedado en que era entrevista?",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=149s
103,bGBuz7UNN5I,151.96,152.44,Hola.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=151s
104,bGBuz7UNN5I,152.46,153.5,Va a partir del programa.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=152s
105,bGBuz7UNN5I,155.82,156.12,Hola.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=155s
106,bGBuz7UNN5I,157.76,158.72,Bienvenidos a...,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=157s
107,bGBuz7UNN5I,158.72,159.04,Ya.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=158s
108,bGBuz7UNN5I,159.04,162.7,"A este ciclo de entrevista que hoy vamos a comenzar, donde conoceremos...",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=159s
109,bGBuz7UNN5I,162.7,163.02,Está bien.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=162s
110,bGBuz7UNN5I,164.18,171.22,Donde conoceremos un poquitito más de panelistas que nos acompañan día a día en nuestro programa SQP.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=164s
111,bGBuz7UNN5I,172.76,175.24,Este año podemos decir que fue su año.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=172s
112,bGBuz7UNN5I,175.74,178.26,"Recibió el premio Goal Tie, si no me equivoco es así.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=175s
113,bGBuz7UNN5I,178.28,178.86,"Sí, correcto.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=178s
114,bGBuz7UNN5I,179.02,181.74,Al periodista juvenil Maltit más destacado del año.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=179s
115,bGBuz7UNN5I,182.44,184.42,También recibió durante...,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=182s
116,bGBuz7UNN5I,184.94,190.96,Durante febrero de este año el premio al rey del festival elegido por sus primeros compañeros.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=184s
117,bGBuz7UNN5I,190.96,191.42,Qué bueno.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=190s
118,bGBuz7UNN5I,192.9,193.54,De...,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=192s
119,bGBuz7UNN5I,193.54,193.94,Felipe.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=193s
120,bGBuz7UNN5I,194.96,195.46,Felipe.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=194s
121,bGBuz7UNN5I,195.46,196.04,¿Te gusta mi estilo?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=195s
122,bGBuz7UNN5I,197.8,198.98,Anda en busca del estilo.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=197s
123,bGBuz7UNN5I,199.2,206.46,"A diario lo vemos bien vestido, siempre con corbata, siempre limpio.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=199s
124,bGBuz7UNN5I,206.62,207.64,Muy larga la introducción.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=206s
125,bGBuz7UNN5I,208.78,210.18,"¿No te gusta la introducción, abuela?",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=208s
126,bGBuz7UNN5I,210.34,211.54,Muy larga.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=210s
127,bGBuz7UNN5I,213.42,215.12,Si no le gusta el estilo puedo cambiarlo.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=213s
128,bGBuz7UNN5I,216.08,217.42,Y estamos con un amigo.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=216s
129,bGBuz7UNN5I,217.9,218.98,¿Por qué no decirlo?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=217s
130,bGBuz7UNN5I,219.0,219.72,Un buen amigo.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=219s
131,bGBuz7UNN5I,220.12,220.46,"Juan Pablo, ¿qué tal?",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=220s
132,bGBuz7UNN5I,220.46,221.16,"Hola, Felipe.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=220s
133,bGBuz7UNN5I,221.36,222.4,Muchas gracias.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=221s
134,bGBuz7UNN5I,222.44,223.68,Muchas gracias por la invitación.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=222s
135,bGBuz7UNN5I,225.46,227.54,Estoy un poco preocupado porque sé que tú eres...,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=225s
136,bGBuz7UNN5I,227.54,231.06,"Me imagino que vas a ser una chavista suavecita, relajadita.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=227s
137,bGBuz7UNN5I,231.16,232.7,"Tranquilero, soy siempre suavecita.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=231s
138,bGBuz7UNN5I,232.78,233.74,"Dale, dale.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=232s
139,bGBuz7UNN5I,234.6,235.38,Juan Pablo.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=234s
140,bGBuz7UNN5I,237.64,238.24,¿Eres?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=237s
141,bGBuz7UNN5I,239.3,239.9,¡Ya!,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=239s
142,bGBuz7UNN5I,241.58,242.26,Me dejan seguir.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=241s
143,bGBuz7UNN5I,242.36,242.96,¡Ya!,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=242s
144,bGBuz7UNN5I,243.18,244.5,"Me dejan seguir, por favor.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=243s
145,bGBuz7UNN5I,245.58,246.26,Me dejan seguir.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=245s
146,bGBuz7UNN5I,247.04,247.96,Juan Pablo.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=247s
147,bGBuz7UNN5I,249.72,250.32,Observándote.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=249s
148,bGBuz7UNN5I,251.6,254.76,"No, seré curioso, pero...",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=251s
149,bGBuz7UNN5I,254.76,259.56,"Observándote, amigo, la pregunta nace, ¿ah?",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=254s
150,bGBuz7UNN5I,259.78,261.66,La pregunta nace espontánea.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=259s
151,bGBuz7UNN5I,262.08,265.14,"Al mirarte caminar, la pregunta nace.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=262s
152,bGBuz7UNN5I,265.18,265.6,Claro.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=265s
153,bGBuz7UNN5I,265.6,268.42,"Al verte modular, la pregunta aparece.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=265s
154,bGBuz7UNN5I,269.0,272.6,"Al verte sentarte, la pregunta emerge.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=269s
155,bGBuz7UNN5I,273.06,276.1,"Al verte la corbata, la pregunta se abre.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=273s
156,bGBuz7UNN5I,276.76,277.1,Claro.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=276s
157,bGBuz7UNN5I,277.72,282.84,"Al ver tu cabello, tu peinado, la pregunta como una flor, brota.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=277s
158,bGBuz7UNN5I,283.84,284.34,¿Brota?,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=283s
159,bGBuz7UNN5I,284.34,285.32,Juan Pablo.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=284s
160,bGBuz7UNN5I,285.96,286.44,¡Brota!,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=285s
161,bGBuz7UNN5I,287.54,288.14,¡Ahí!,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=287s
162,bGBuz7UNN5I,288.28,288.88,¡Cogelado!,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=288s
163,bGBuz7UNN5I,289.08,289.7,¡Cogelado!,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=289s
164,bGBuz7UNN5I,289.94,290.4,"¡Ahí, ahí!",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=289s
165,bGBuz7UNN5I,290.84,291.34,No.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=290s
166,bGBuz7UNN5I,291.78,292.4,¡Cogelado!,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=291s
167,bGBuz7UNN5I,292.54,293.02,Ahí está.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=292s
168,bGBuz7UNN5I,293.7,294.42,Perfecto.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=293s
169,bGBuz7UNN5I,295.32,296.82,"Atención, muy bien.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=295s
170,bGBuz7UNN5I,297.22,298.88,Ya seguimos con...,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=297s
171,bGBuz7UNN5I,298.88,300.62,Acá estamos en el date de Felipe Aurelio.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=298s
172,bGBuz7UNN5I,300.8,304.92,"Se viene una pregunta que emergía, que surgía.",https://www.youtube.com/watch?v=bGBuz7UNN5I&t=300s
173,bGBuz7UNN5I,306.94,309.88,Una pregunta muy incisiva a Juan Pablo.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=306s
174,bGBuz7UNN5I,310.04,313.38,Trasamos una pausa y ya continúa el date de él.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=310s
175,bGBuz7UNN5I,313.38,314.8,En el gran entrevistado.,https://www.youtube.com/watch?v=bGBuz7UNN5I&t=313s
176,r1zIkR7IHoc,0.64,14.24,Casi que la sección de los viernes los archivos secretos del pera. Pero hoy con una novedad son los archivos secretos sin el pera pero con Avello. Así es. El culpable de Avello.,https://www.youtube.com/watch?v=r1zIkR7IHoc&t=0s
177,r1zIkR7IHoc,14.42,55.98,"Así es Cristian, desaportunadamente a nuestro amigo Perita Cuadra finalmente fue abducido y volvió a su planeta. Así que yo hoy día Perita voy a intentar reemplazarte. Lo salvamos a ti desde tu galaxia lejana. Nos estás mirando y solo te puedo decir adios. Usted me van diciendo que nos gustaría ver. Vamos experimentando los modelos. A ver vamos con la primera imagen y yo les voy contando donde vivimos. Bueno él fue el personaje que ya no está. Eso es. A ver les cuento. Esta es una imagen que fue captada. En que país? En México.",https://www.youtube.com/watch?v=r1zIkR7IHoc&t=14s
178,r1zIkR7IHoc,55.98,62.42,Vayan diciendo donde. En México. Vayan diciendo donde. Esto fue captado con una cámara aficionada.,https://www.youtube.com/watch?v=r1zIkR7IHoc&t=55s
179,r1zIkR7IHoc,63.02,94.8,HD? En Acapulco. Estos son los llamados Foo Fighters. ¿Qué están haciendo ahí? ¿Por qué juntos? A ver que es el pera. ¿Por qué están juntos? ¿Por qué todos están juntitos? No no sé. ¿Por qué se sienten en la sección? Vamos. Y qué más? Nos pueden entregar.,https://www.youtube.com/watch?v=r1zIkR7IHoc&t=63s
180,r1zIkR7IHoc,94.9,100.48,Por qué están dando más cosas y veamos la imagen. No tengo idea. Hay una persona mirando.,https://www.youtube.com/watch?v=r1zIkR7IHoc&t=94s
181,r1zIkR7IHoc,100.48,132.46,"Pues que parece que estuvo una película. Ya. El pera trajo una película. Ahí llegó el pera. Sorry. Me informan que ahora sí. No, no es el pera. Desde Melma. Me salvaste, no tenía idea. Disculpas Presto. Ven pa acá. Pero. No, pero. Vuelve a ver. Se le ceda la cinta. Pero que te hay que alzármelo. No, yo la vi aquí al lado. No solo con cero.",https://www.youtube.com/watch?v=r1zIkR7IHoc&t=100s
182,r1zIkR7IHoc,132.46,153.66,"¿Qué pasó? Mira. Lo que estamos viendo son Foo Fighters. Fue este. Fue este. Estabamos viendo una. No Foo Fighters. Unas luces. Unas luces. Adducido. Eso fue lo que alcanzamos a ver. Adducido pero me soltaron. Ya. Bien. A tiempo. Rodrigo. Rodrigo. Vimos. Estabamos mostrando unas luces. Sí mira. Eso. Se desagrupaban. Fue algo que nos quedó pendiente el programa que nos había pasado. Ya. Que fue esto que pasó en Fenix, Arizona. Ah, Arizona. El.",https://www.youtube.com/watch?v=r1zIkR7IHoc&t=132s
183,r1zIkR7IHoc,153.66,159.22,"Ah, ese. Ochoenta y siete. Noventa y siete. Rodrigo tan agitado. Que me vino corriendo.",https://www.youtube.com/watch?v=r1zIkR7IHoc&t=153s
184,r1zIkR7IHoc,159.72,169.2,"Estaba. Sabía que me había atrasado. Bueno, volvamos a. Ya. Esto que pasó en Fenix fue algo bastante. G, porque lo presenció mucha gente. Como fue esta nave al parecer nodriza.",https://www.youtube.com/watch?v=r1zIkR7IHoc&t=159s
185,r1zIkR7IHoc,169.22,179.22,"Pero esta es una película. No, no. Esto es real. Al parecer una nave nodriza por la magnitud, por la. Por el radio que eh abarcaban estas luces. Entonces, después del dos mil cinco.",https://www.youtube.com/watch?v=r1zIkR7IHoc&t=169s
186,r1zIkR7IHoc,180.46,216.18,Basado en ciertos testimonios de gente que fue testigo de esto. Un grupo de jóvenes que viajaban. Rodrigo. En una casa rodante. Eh. Fueron dicen. Se traía muy alto. Fue una experiencia de abducción. Ya. Basado en los relatos de ellos. Ah. Se hizo la película que se llama The Skies. Que la estamos viendo ahí. Ah. Fíjense. Ahí está la misma. Por eso que se va. Ya. En la película. Ya. Justamente estos jóvenes tienen un accidente mientras van observando estas raras luces en el cielo y dicen. Sí. Esto es la película. Qué curioso la película. Nice Skies. Cielo Nocturno. Y ellos en algún momento tienen un accidente.,https://www.youtube.com/watch?v=r1zIkR7IHoc&t=180s
